country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Tonga,wind,1000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,5867.451151714226,0.9000000000000002,0.0,0.0,266.36336,1420.7207046099252,266.36336,295.95928888888886
Tonga,wind,1500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,5979.832477845637,0.9000000000000002,0.0,0.0,266.36336,1447.9322608236944,266.36336,295.95928888888886
Tonga,wind,2000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,4.538039090974475e-11,1.154631945610163e-14,0.0,0.0,266.36336,1.0988222872538121e-11,1.0988222872538121e-11,951.6645468120508
Trinidad and Tobago,earthquake,1.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,61.69747243960614,0.007921368325555352,0.0,0.0,1523.2379584999994,15.33523879917795,15.33523879917795,1935.9330571341445
Trinidad and Tobago,earthquake,20.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,510.2916019935293,0.06551658557463988,0.0,0.0,1523.2379584999994,126.83572380450336,126.83572380450336,1935.9330571341443
Trinidad and Tobago,earthquake,50.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,1173.8298211038518,0.150708578436276,0.0,0.0,1523.2379584999994,291.76171898848077,291.76171898848077,1935.9330571341443
Trinidad and Tobago,earthquake,100.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,4085.0731832487027,0.5244845216801627,0.0,0.0,1523.2379584999994,1015.3669234758167,1015.3669234758167,1935.9330571341438
Trinidad and Tobago,earthquake,250.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,6113.674218570291,0.7849375897068146,0.0,0.0,1523.2379584999994,1519.5866277006203,1519.5866277006203,1935.9330571341443
Trinidad and Tobago,earthquake,500.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,7710.369031251575,0.9000000000000002,0.0,0.0,1523.2379584999994,1916.4537159892784,1523.2379584999994,1692.4866205555545
Trinidad and Tobago,earthquake,1000.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,9557.715897966127,0.9000000000000002,0.0,0.0,1523.2379584999994,2375.6217211893577,1523.2379584999994,1692.4866205555547
Trinidad and Tobago,earthquake,1500.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,10183.244836033131,0.9000000000000002,0.0,0.0,1523.2379584999994,2531.1003050234626,1523.2379584999994,1692.4866205555547
Trinidad and Tobago,earthquake,2000.0,30464.759169999987,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,1,1,1.0787654875020771,1.0,0.19192531842073,1.3333948776596174,9.771378550115796e-11,1.2545520178264269e-14,0.0,0.0,1523.2379584999994,2.428728723204524e-11,2.428728723204524e-11,1935.9330571341443
