country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid
Montenegro,surge,1500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,surge,2000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,tsunami,20.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,tsunami,50.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,tsunami,100.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,tsunami,250.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,tsunami,500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,tsunami,1000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,tsunami,1500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,tsunami,2000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,wind,20.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
