country,hazard,rp,0
Belize,tsunami,250,0
Belize,tsunami,500,0
Belize,tsunami,1000,0
Belize,tsunami,1500,0
Belize,tsunami,2000,0
Belize,wind,20,0.008264339
Belize,wind,50,0.085684544
Belize,wind,100,0.135992913
Belize,wind,250,0.210029978
Belize,wind,500,0.258077916
Belize,wind,1000,0.292626655
Belize,wind,1500,0.326980213
Belize,wind,2000,-1.73E-15
Benin,earthquake,20,0
Benin,earthquake,50,1.00E-05
Benin,earthquake,100,0.000156564
Benin,earthquake,250,0.000517934
Benin,earthquake,500,0.000926638
Benin,earthquake,1000,0.001591123
Benin,earthquake,1500,0.002187339
Benin,earthquake,2000,0.010954598
Benin,flood,20,0.00634518
Benin,flood,50,0.014518544
Benin,flood,100,0.019550594
Benin,flood,250,0.048080737
Benin,flood,500,0.054035734
Benin,flood,1000,0.063417228
Benin,flood,1500,0.068196756
Benin,flood,2000,0
Benin,surge,20,0
Benin,surge,50,0
Benin,surge,100,0
Benin,surge,250,0
Benin,surge,500,0
Benin,surge,1000,0
Benin,surge,1500,0
Benin,surge,2000,0
Benin,tsunami,20,0
Benin,tsunami,50,0
Benin,tsunami,100,0
Benin,tsunami,250,0
Benin,tsunami,500,0
Benin,tsunami,1000,0
Benin,tsunami,1500,0
Benin,tsunami,2000,0
Benin,wind,20,0
Benin,wind,50,0
Benin,wind,100,0
Benin,wind,250,0
Benin,wind,500,0
Benin,wind,1000,0
Benin,wind,1500,0
Benin,wind,2000,0
Bermuda,earthquake,20,0
Bermuda,earthquake,50,0
Bermuda,earthquake,100,0
Bermuda,earthquake,250,0
Bermuda,earthquake,500,0
Bermuda,earthquake,1000,0
Bermuda,earthquake,1500,0
Bermuda,earthquake,2000,0
Bermuda,surge,20,0
Bermuda,surge,50,0
Bermuda,surge,100,0
Bermuda,surge,250,0
Bermuda,surge,500,0
Bermuda,surge,1000,0
Bermuda,surge,1500,0
Bermuda,surge,2000,0
Bermuda,tsunami,20,0
Bermuda,tsunami,50,0
Bermuda,tsunami,100,0
Bermuda,tsunami,250,0
Bermuda,tsunami,500,0
Bermuda,tsunami,1000,0
Bermuda,tsunami,1500,0
Bermuda,tsunami,2000,0.013394694
Bermuda,wind,20,0.030960878
Bermuda,wind,50,0.068058439
Bermuda,wind,100,0.117481989
Bermuda,wind,250,0.227921239
Bermuda,wind,500,0.304522623
Bermuda,wind,1000,0.356128551
Bermuda,wind,1500,0.375631225
Bermuda,wind,2000,1.73E-15
Bhutan,earthquake,20,0.000893204
Bhutan,earthquake,50,0.004874726
Bhutan,earthquake,100,0.013303319
Bhutan,earthquake,250,0.037803261
Bhutan,earthquake,500,0.07119193
Bhutan,earthquake,1000,0.11932297
Bhutan,earthquake,1500,0.154331135
Bhutan,earthquake,2000,2.17E-16
Bhutan,flood,20,0.042783765
Bhutan,flood,50,0.065651084
Bhutan,flood,100,0.067141383
Bhutan,flood,250,0.071612281
Bhutan,flood,500,0.079063777
Bhutan,flood,1000,0.088241505
Bhutan,flood,1500,0.091736696
Bhutan,flood,2000,1.73E-15
Bhutan,surge,20,0
Bhutan,surge,50,0
Bhutan,surge,100,0
Bhutan,surge,250,0
Bhutan,surge,500,0
Bhutan,surge,1000,0
Bhutan,surge,1500,0
Bhutan,surge,2000,0
Bhutan,tsunami,20,0
Bhutan,tsunami,50,0
Bhutan,tsunami,100,0
Bhutan,tsunami,250,0
Bhutan,tsunami,500,0
Bhutan,tsunami,1000,0
Bhutan,tsunami,1500,0
Bhutan,tsunami,2000,0
Bhutan,wind,20,0
