province,hazard,rp,fa
Camiguin,earthquake,200,0.04684835658225539
Camiguin,earthquake,250,0.06061772970911812
Camiguin,earthquake,500,0.1845079254140063
Camiguin,earthquake,1000,0.36257665366934355
Camiguin,flood,10,0.0
Camiguin,flood,25,1.1702559489103704e-06
Camiguin,flood,30,7.107034238380304e-06
Camiguin,flood,50,0.000381821615086547
Camiguin,flood,100,0.006409404571791827
Camiguin,flood,200,0.035760223149528585
Camiguin,flood,250,0.04666753981019968
Camiguin,flood,500,0.08098583257828018
Camiguin,flood,1000,0.11319890905460468
Camiguin,surge,10,0.0
Camiguin,surge,25,0.0
Camiguin,surge,30,0.0
Camiguin,surge,50,0.0
Camiguin,surge,100,0.0
Camiguin,surge,200,0.14531186836766322
Camiguin,surge,250,0.15747514273523966
Camiguin,surge,500,0.18156247351286492
Camiguin,surge,1000,0.1965888869660977
Camiguin,wind,10,0.0012799939367918207
