province,income_cat,n,c,social,axfin,gamma_SP,k,fa,v,shew
Lanao del Sur,poor,0.6730544,89.66469527272007,0.07863857802045364,0.0353108,0.6309270302666011,330.29178650364685,0.09848079916430498,0.1259237612188695,0.020535731975511663
Leyte,nonpoor,0.6859147,242.29813105080535,0.2095507574028785,0.22188520000000003,1.315497601415459,878.3180239052887,0.38639360646341003,0.13662647075622572,0.2018791409641307
Leyte,poor,0.3140853,75.6982171150593,0.15857161151261,0.0353108,0.31100104772300974,292.0993256170159,0.3854528966282147,0.194153095351321,0.06784748154327101
Maguindanao,nonpoor,0.4548597,136.020116586358,0.13895128289561892,0.22188520000000003,1.5134373044126577,483.84015530523556,0.10315052214981292,0.1812562279037388,0.06900176087579685
Maguindanao,poor,0.5451403,84.93135318906606,0.08404659088464612,0.0353108,0.5715929674361808,321.37528084112245,0.10307790249817002,0.21394646924829158,0.0825854214123007
Manila,nonpoor,0.9640521,385.4746798627359,0.148081425335857,0.22188520000000003,1.0255740718605197,1408.1640637673584,,0.10990160141423595,
Manila,poor,0.0359479,136.9159917032699,0.12770775745838128,0.0353108,0.31415360333468967,512.1244372972707,,0.1266471449487555,
Marinduque,nonpoor,0.7614239,206.29932705500502,0.23723002052799763,0.22188520000000003,1.2173949192753892,745.103241261079,0.3435154760975793,0.13277434901276158,0.13172195037989629
Marinduque,poor,0.2385761,79.7805696460802,0.1542804147866543,0.0353108,0.30617657311502644,319.48360056575046,0.3430190719335866,0.1775052970258181,0.1568704386722123
Masbate,nonpoor,0.5943149999999999,165.61549354868916,0.14261762578512702,0.22188520000000003,1.1770765890486583,611.521092556781,0.19135340940269707,0.16407818352059925,0.15279962546816478
Masbate,poor,0.405685,83.88989665720203,0.17714824964871265,0.0353108,0.7405887005424079,297.28102082797915,0.19103330418023173,0.24367172818676874,0.15349162585901818
Misamis Occidental,nonpoor,0.6622893000000001,171.9224475730051,0.18078810659626793,0.22188520000000003,1.3115479487519912,620.2747215527878,0.08117905104084731,0.15323139992880358,0.09683864818621314
Misamis Occidental,poor,0.3377106999999999,74.97652820628308,0.12295992367972197,0.0353108,0.38901884691426064,289.60097101118527,0.0811414031375471,0.2253338587996847,0.10746537552077473
Misamis Oriental,nonpoor,0.8091482,279.3890594188098,0.1599408089103435,0.22188520000000003,1.1673469683162276,1019.3835862417319,0.12400850280651683,0.14029003806517498,0.15906044007055978
Misamis Oriental,poor,0.1908518,79.70204754932061,0.13952501278701399,0.0353108,0.2905044742122812,297.8695313782541,0.12357437500160012,0.17642057531528976,0.01550863602727
Mountain Province,nonpoor,0.7205231000000001,199.78927397426563,0.14966559843120392,0.22188520000000003,1.216759867333185,723.6601864688238,0.298706820556612,0.10355668851663026,0.1096544468722182
Mountain Province,poor,0.2794769,103.57907500521594,0.10466988781377896,0.0353108,0.4411685131526245,395.02809194534717,0.29644433768992534,0.11855831420822034,0.05664510744836218
NCR-2nd Dist.,nonpoor,0.9811551,411.987638018535,0.1315159314662563,0.22188520000000003,1.0147445194871865,1505.4214003673508,,0.10965405919733578,
NCR-2nd Dist.,poor,0.0188449,100.63089611768274,0.12327646547511799,0.0353108,0.2323302064801457,371.1983604266437,,0.1894550601556971,
NCR-3rd Dist.,nonpoor,0.9723908,309.8285323265846,0.16262342963468024,0.22188520000000003,1.0192712170888119,1132.034544007261,,0.11062596665759918,
NCR-3rd Dist.,poor,0.0276092,104.82467995182306,0.1515037070515854,0.0353108,0.32127138048319354,388.08866544885024,,0.1704368772582941,
NCR-4th Dist.,nonpoor,0.9700827,415.7507970256424,0.1526721402428473,0.22188520000000003,1.0248173874956457,1518.3545575546368,,0.10673376432559506,
NCR-4th Dist.,poor,0.0299173,123.2264576186925,0.0981544442086107,0.0353108,0.1952843916823286,478.9881335784914,,0.14014209959400115,
Negros Occidental,nonpoor,0.7509189000000001,206.71811029719547,0.23585832222813422,0.22188520000000003,1.2500340464091781,744.1570895451309,0.14728362994582428,0.15347687316868983,0.19391562288694975
Negros Occidental,poor,0.2490811,74.8561867787849,0.1282870148860177,0.0353108,0.2462081984858378,307.40676822111067,0.1466540104366913,0.21947872301699975,0.08307548566366955
Negros Oriental,nonpoor,0.5605282,254.91962650904532,0.2518601877874853,0.22188520000000003,1.586918816537993,913.0248005132271,0.043188056945572706,0.154042330885426,0.1583736342468206
Negros Oriental,poor,0.4394718,63.80098416808182,0.1594269982178859,0.0353108,0.2514091967216748,256.74343625905595,0.04311013123059518,0.22134757875979502,0.07808585331678303
Northern Samar,nonpoor,0.565014,212.9239689898222,0.1688928332735196,0.22188520000000003,1.4598630191301951,768.4574186540581,0.31378065993405035,0.17155438329831463,0.17175555456211722
Northern Samar,poor,0.434986,80.71985405415869,0.12288401961501488,0.0353108,0.4026726287953454,307.4507939661379,0.31286452445691926,0.24194394440895803,0.05346185858351235
Nueva Ecija,nonpoor,0.8035968,235.1840301832873,0.20023316555340334,0.22188520000000003,1.1832485086737103,850.7128876302218,0.4874626191879421,0.11945104967280663,0.10271271590607499
Nueva Ecija,poor,0.1964032,92.82441373069499,0.10728498821167907,0.0353108,0.2502264974554075,374.7890088722017,0.4867668169169694,0.16899295805545803,0.0210490522990523
Nueva Vizcaya,nonpoor,0.849205,246.205641306619,0.18430755243039687,0.22188520000000003,1.139218348685209,895.4719958471808,0.4493220867384411,0.10739384301070276,0.12016808673647066
