country,hazard,rp,income_cat,fa,shew,v
Antigua and Barbuda,wind,1000.0,nonpoor,0.0,0.0,0.757139146631
Antigua and Barbuda,wind,1500.0,nonpoor,0.0,0.0,0.75941568459
Antigua and Barbuda,wind,2000.0,nonpoor,0.0,0.0,0.760556262142
Antigua and Barbuda,earthquake,1.0,poor,0.00366215187213,0.0,0.345191655699
Antigua and Barbuda,earthquake,20.0,poor,0.0307032470915,0.0,0.624696266563
Antigua and Barbuda,earthquake,50.0,poor,0.0674742142733,0.0,0.8255627185
Antigua and Barbuda,earthquake,100.0,poor,0.101930196215,0.0,0.90442329421
Antigua and Barbuda,earthquake,250.0,poor,0.153247438791,0.0,0.954931860036
Antigua and Barbuda,earthquake,500.0,poor,0.196432019448,0.0,0.972323651336
Antigua and Barbuda,earthquake,1000.0,poor,0.236926549748,0.0,0.981125999031
Antigua and Barbuda,earthquake,1500.0,poor,0.264752213926,0.0,0.984076012366
Antigua and Barbuda,earthquake,2000.0,poor,0.0,0.0,0.985554010558
Antigua and Barbuda,surge,1.0,poor,0.00729168567686,0.0,0.345191655699
Antigua and Barbuda,surge,20.0,poor,0.100780864359,0.0,0.624696266563
Antigua and Barbuda,surge,50.0,poor,0.189328541247,0.0,0.8255627185
Antigua and Barbuda,surge,100.0,poor,0.26864233961,0.0,0.90442329421
Antigua and Barbuda,surge,250.0,poor,0.375324264913,0.0,0.954931860036
Antigua and Barbuda,surge,500.0,poor,0.426668713289,0.0,0.972323651336
Antigua and Barbuda,surge,1000.0,poor,0.49650133761,0.0,0.981125999031
Antigua and Barbuda,surge,1500.0,poor,0.508085657941,0.0,0.984076012366
Antigua and Barbuda,surge,2000.0,poor,4.92534075845e-15,0.0,0.985554010558
Antigua and Barbuda,tsunami,1.0,poor,0.0,0.0,0.345191655699
Antigua and Barbuda,tsunami,20.0,poor,0.0,0.0,0.624696266563
Antigua and Barbuda,tsunami,50.0,poor,0.0,0.0,0.8255627185
Antigua and Barbuda,tsunami,100.0,poor,0.0,0.0,0.90442329421
Antigua and Barbuda,tsunami,250.0,poor,0.0,0.0,0.954931860036
Antigua and Barbuda,tsunami,500.0,poor,0.00051467268623,0.0,0.972323651336
Antigua and Barbuda,tsunami,1000.0,poor,0.00221913526654,0.0,0.981125999031
Antigua and Barbuda,tsunami,1500.0,poor,0.00387984025004,0.0,0.984076012366
Antigua and Barbuda,tsunami,2000.0,poor,0.0173224518146,0.0,0.985554010558
Antigua and Barbuda,wind,1.0,poor,0.0182451017629,0.0,0.345191655699
Antigua and Barbuda,wind,20.0,poor,0.1826712971,0.0,0.624696266563
Antigua and Barbuda,wind,50.0,poor,0.636810557388,0.0,0.8255627185
Antigua and Barbuda,wind,100.0,poor,0.794810904671,0.0,0.90442329421
Antigua and Barbuda,wind,250.0,poor,0.9,0.0,0.954931860036
Antigua and Barbuda,wind,500.0,poor,0.0,0.0,0.972323651336
Antigua and Barbuda,wind,1000.0,poor,0.0,0.0,0.981125999031
Antigua and Barbuda,wind,1500.0,poor,0.0,0.0,0.984076012366
Antigua and Barbuda,wind,2000.0,poor,0.0,0.0,0.985554010558
Argentina,earthquake,1.0,nonpoor,0.00145841704402,0.0,0.138552865501
Argentina,earthquake,20.0,nonpoor,0.00616519848306,0.0,0.250740295633
Argentina,earthquake,50.0,nonpoor,0.0124455837002,0.0,0.331363978272
Argentina,earthquake,100.0,nonpoor,0.0185558090946,0.0,0.363016999309
Argentina,earthquake,250.0,nonpoor,0.0277158099077,0.0,0.383290103864
Argentina,earthquake,500.0,nonpoor,0.0348287402191,0.0,0.390270812931
Argentina,earthquake,1000.0,nonpoor,0.0420111167005,0.0,0.393803895137
Argentina,earthquake,1500.0,nonpoor,0.0462306265936,0.0,0.394987970111
Argentina,earthquake,2000.0,nonpoor,0.0,0.0,0.395581208335
Argentina,flood,1.0,nonpoor,0.000704737106556,0.0,0.138552865501
Argentina,flood,20.0,nonpoor,0.00523444177021,0.0,0.250740295633
Argentina,flood,50.0,nonpoor,0.0097344011727,0.0,0.331363978272
Argentina,flood,100.0,nonpoor,0.0139465027502,0.0,0.363016999309
Argentina,flood,250.0,nonpoor,0.0208523591727,0.0,0.383290103864
Argentina,flood,500.0,nonpoor,0.0275515158284,0.0,0.390270812931
Argentina,flood,1000.0,nonpoor,0.0359017772935,0.0,0.393803895137
Argentina,flood,1500.0,nonpoor,0.038726523157,0.0,0.394987970111
Argentina,flood,2000.0,nonpoor,2.57379929869e-16,0.0,0.395581208335
Argentina,surge,1.0,nonpoor,0.0,0.0,0.138552865501
Argentina,surge,20.0,nonpoor,0.0,0.0,0.250740295633
Argentina,surge,50.0,nonpoor,0.0,0.0,0.331363978272
Argentina,surge,100.0,nonpoor,0.0,0.0,0.363016999309
Argentina,surge,250.0,nonpoor,0.0,0.0,0.383290103864
Argentina,surge,500.0,nonpoor,0.0,0.0,0.390270812931
Argentina,surge,1000.0,nonpoor,0.0,0.0,0.393803895137
Argentina,surge,1500.0,nonpoor,0.0,0.0,0.394987970111
Argentina,surge,2000.0,nonpoor,0.0,0.0,0.395581208335
Argentina,tsunami,1.0,nonpoor,0.0,0.0,0.138552865501
Argentina,tsunami,20.0,nonpoor,0.0,0.0,0.250740295633
Argentina,tsunami,50.0,nonpoor,0.0,0.0,0.331363978272
Argentina,tsunami,100.0,nonpoor,0.0,0.0,0.363016999309
Argentina,tsunami,250.0,nonpoor,0.0,0.0,0.383290103864
Argentina,tsunami,500.0,nonpoor,0.0,0.0,0.390270812931
Argentina,tsunami,1000.0,nonpoor,0.0,0.0,0.393803895137
Argentina,tsunami,1500.0,nonpoor,0.0,0.0,0.394987970111
Argentina,tsunami,2000.0,nonpoor,0.0,0.0,0.395581208335
Argentina,wind,1.0,nonpoor,0.0,0.0,0.138552865501
Argentina,wind,20.0,nonpoor,0.0,0.0,0.250740295633
Argentina,wind,50.0,nonpoor,0.0,0.0,0.331363978272
Argentina,wind,100.0,nonpoor,0.0,0.0,0.363016999309
Argentina,wind,250.0,nonpoor,0.0,0.0,0.383290103864
Argentina,wind,500.0,nonpoor,0.0,0.0,0.390270812931
Argentina,wind,1000.0,nonpoor,0.0,0.0,0.393803895137
Argentina,wind,1500.0,nonpoor,0.0,0.0,0.394987970111
Argentina,wind,2000.0,nonpoor,0.0,0.0,0.395581208335
Argentina,earthquake,1.0,poor,0.00145841704402,0.0,0.24407490807
Argentina,earthquake,20.0,poor,0.00616519848306,0.0,0.441704430903
Argentina,earthquake,50.0,poor,0.0124455837002,0.0,0.583731215101
Argentina,earthquake,100.0,poor,0.0185558090946,0.0,0.639491218128
Argentina,earthquake,250.0,poor,0.0277158099077,0.0,0.67520434548
