country,hazard,rp,fa
Botswana,wind,1500.0,0.0
Botswana,wind,2000.0,0.0
Brazil,earthquake,1.0,0.0
Brazil,earthquake,20.0,0.0
Brazil,earthquake,50.0,0.0
Brazil,earthquake,100.0,0.0
Brazil,earthquake,250.0,0.0
Brazil,earthquake,500.0,0.0
Brazil,earthquake,1000.0,0.0
Brazil,earthquake,1500.0,0.0
Brazil,earthquake,2000.0,0.0
Brazil,flood,1.0,0.00049507157627
Brazil,flood,20.0,0.00377616270308
Brazil,flood,50.0,0.00609678321933
Brazil,flood,100.0,0.00894075270357
Brazil,flood,250.0,0.013249150696
Brazil,flood,500.0,0.0160933741302
Brazil,flood,1000.0,0.022754997979
Brazil,flood,1500.0,0.0242065265833
Brazil,flood,2000.0,0.0
Brazil,surge,1.0,0.0
Brazil,surge,20.0,0.0
Brazil,surge,50.0,0.0
Brazil,surge,100.0,0.0
Brazil,surge,250.0,0.0
Brazil,surge,500.0,0.0
Brazil,surge,1000.0,0.0
Brazil,surge,1500.0,0.0
Brazil,surge,2000.0,0.0
Brazil,tsunami,1.0,0.0
Brazil,tsunami,20.0,0.0
Brazil,tsunami,50.0,0.0
Brazil,tsunami,100.0,0.0
Brazil,tsunami,250.0,0.0
Brazil,tsunami,500.0,0.0
Brazil,tsunami,1000.0,0.0
Brazil,tsunami,1500.0,0.0
Brazil,tsunami,2000.0,0.0
Brazil,wind,1.0,0.0
Brazil,wind,20.0,0.0
Brazil,wind,50.0,0.0
Brazil,wind,100.0,0.0
Brazil,wind,250.0,0.0
Brazil,wind,500.0,0.0
Brazil,wind,1000.0,0.0
Brazil,wind,1500.0,0.0
